Block 1 — 4th-Order Sallen-Key Bessel Reconstruction Filter,,,,,,,
,Qty,Component,Standard Value,Tolerance,Type,Purpose,
,1,Dual op-amp,AD8032,—,High-speed dual op-amp,Two Sallen-Key stages,
,1,Filter resistor,1.0 kΩ,1%,Metal film,Stage 1,
,1,Filter resistor,1.0 kΩ,1%,Metal film,Stage 1,
,1,Filter resistor,1.0 kΩ,1%,Metal film,Stage 2,
,1,Filter resistor,1.0 kΩ,1%,Metal film,Stage 2,
,1,Gain resistor,1.0 kΩ,1%,Metal film,Stage 1 RgR_g,
,1,Gain resistor,82 Ω,1%,Metal film,Stage 1 RfR_f,
,1,Gain resistor,1.0 kΩ,1%,Metal film,Stage 2 RgR_g,
,1,Gain resistor,750 Ω,1%,Metal film,Stage 2 RfR_f,
,1,Filter capacitor,180 pF,2–5%,C0G/NP0,Stage 1,
,1,Filter capacitor,180 pF,2–5%,C0G/NP0,Stage 1,
,1,Filter capacitor,160 pF,2–5%,C0G/NP0,Stage 2,
,1,Filter capacitor,160 pF,2–5%,C0G/NP0,Stage 2,
,1,Supply bypass,100 nF,10%,Ceramic,Directly at U1,
,1,Bulk bypass,10 µF,10–20%,Ceramic/electrolytic,Local supply,
,1,Supply bypass,1 µF,10%,Ceramic,Supply rail,
,1,Supply bypass,1 µF,10%,Ceramic,"Other rail, if split supply",
,1,Input isolation resistor,100 Ω,1%,Metal film,Optional DAC isolation,
,1,Output isolation resistor,100 Ω,1%,Metal film,Optional cable/probe isolation,
Block 2 — Transient Muting / Edge-Smoothing,,,,,,,
,Qty,Component,Standard Value,Tolerance,Type,Purpose,
,1,Analog switch,ADG701,—,Analog CMOS switch,Hardware muting,
,1,Signal series resistor,1.0 kΩ,1%,Metal film,Limits shunt current,
,1,RC ramp resistor,10 kΩ,1%,Metal film,RC timing,
,1,RC ramp capacitor,100 nF,10%,Ceramic,Gives ~1 ms time constant,
,1,Enable pull-down,100 kΩ,1%,Metal film,Defines mute state,
